date,state,district,pincode,demo_age_5_17,demo_age_17_,city
12-09-2025,Uttar Pradesh,Bareilly,243003,4,47,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243302,22,69,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243303,24,93,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243401,8,36,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243403,1,6,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243503,38,207,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243001,10,98,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243006,3,28,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243302,11,44,bareilly
13-09-2025,Uttar Pradesh,Bareilly,262202,1,0,bareilly
14-09-2025,Uttar Pradesh,Bareilly,243202,2,19,bareilly
14-09-2025,Uttar Pradesh,Bareilly,243203,3,15,bareilly
14-09-2025,Uttar Pradesh,Bareilly,243407,0,6,bareilly
14-09-2025,Uttar Pradesh,Bareilly,243502,1,16,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243003,5,34,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243006,8,31,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243202,13,66,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243401,4,26,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243001,15,126,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243002,0,2,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243003,1,38,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243301,13,53,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243303,17,61,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243401,10,25,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243501,6,32,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243503,26,168,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243001,16,119,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243123,7,72,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243202,4,56,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243203,4,45,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243402,6,40,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243403,2,2,bareilly
17-09-2025,Uttar Pradesh,Bareilly,262406,8,83,bareilly
17-09-2025,Uttar Pradesh,Bareilly,262407,2,35,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243001,11,100,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243407,1,4,bareilly
18-09-2025,Uttar Pradesh,Bareilly,262407,6,34,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243301,16,68,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243303,8,72,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243403,0,4,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243505,28,147,bareilly
19-09-2025,Uttar Pradesh,Bareilly,262406,13,82,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243123,7,62,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243203,7,57,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243402,3,18,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243407,1,4,bareilly
13-10-2025,Uttar Pradesh,Bareilly,243006,2,11,bareilly
13-10-2025,Uttar Pradesh,Bareilly,243505,4,40,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243001,6,116,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243202,12,66,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243301,4,46,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243401,1,32,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243502,1,46,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243504,4,41,bareilly
15-10-2025,Uttar Pradesh,Bareilly,243506,8,32,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243001,9,105,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243003,6,49,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243202,4,70,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243301,5,37,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243503,22,124,bareilly
16-10-2025,Uttar Pradesh,Bareilly,262407,4,34,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243001,2,147,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243303,10,81,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243403,1,3,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243501,6,46,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243502,2,72,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243505,20,136,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243506,8,62,bareilly
26-10-2025,Uttar Pradesh,Bareilly,262202,0,1,bareilly
26-10-2025,Uttar Pradesh,Bareilly,262406,20,159,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243003,2,38,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243006,0,19,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243202,1,49,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243303,4,39,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243005,3,33,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243202,2,50,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243301,8,43,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243503,15,95,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243505,8,87,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243506,1,22,bareilly
18-10-2025,Uttar Pradesh,Bareilly,262406,10,69,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243001,3,62,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243003,3,24,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243303,4,37,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243504,4,32,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243001,3,11,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243301,0,4,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243503,5,21,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243504,3,5,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243505,1,21,bareilly
20-10-2025,Uttar Pradesh,Bareilly,243003,0,5,bareilly
22-10-2025,Uttar Pradesh,Bareilly,243123,0,1,bareilly
22-10-2025,Uttar Pradesh,Bareilly,243301,1,0,bareilly
22-10-2025,Uttar Pradesh,Bareilly,243302,0,3,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243006,0,2,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243122,0,5,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243202,0,3,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243203,0,1,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243402,0,3,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243502,0,1,bareilly
23-10-2025,Uttar Pradesh,Bareilly,243506,0,1,bareilly
24-10-2025,Uttar Pradesh,Bareilly,262407,2,32,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243006,0,7,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243123,7,36,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243303,0,28,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243407,1,5,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243502,1,21,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243504,8,30,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243202,8,31,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243203,3,22,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243301,1,18,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243302,4,27,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243502,1,17,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243505,8,60,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243501,6,33,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243502,2,50,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243505,13,77,bareilly
28-10-2025,Uttar Pradesh,Bareilly,262406,3,84,bareilly
28-10-2025,Uttar Pradesh,Bareilly,262407,5,33,bareilly
02-11-2025,Uttar Pradesh,Bareilly,243002,1,0,bareilly
02-12-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
02-12-2025,Uttar Pradesh,Bareilly,262201,0,1,bareilly
04-12-2025,Uttar Pradesh,Bareilly,262201,0,1,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
09-12-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
09-12-2025,Uttar Pradesh,Bareilly,262202,0,1,bareilly
11-12-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243004,0,2,bareilly
14-12-2025,Uttar Pradesh,Bareilly,262201,1,0,bareilly
26-11-2025,Uttar Pradesh,Bareilly,262203,0,1,bareilly
25-12-2025,Uttar Pradesh,Bareilly,243403,0,4,bareilly
29-12-2025,Uttar Pradesh,Bareilly,243201,7,174,bareilly
29-12-2025,Uttar Pradesh,Bareilly,243402,2,29,bareilly
31-12-2025,Uttar Pradesh,Bareilly,243006,0,35,bareilly
31-12-2025,Uttar Pradesh,Bareilly,243123,3,111,bareilly
31-12-2025,Uttar Pradesh,Bareilly,243201,9,148,bareilly
31-12-2025,Uttar Pradesh,Bareilly,243302,2,72,bareilly
31-12-2025,Uttar Pradesh,Bareilly,243407,1,7,bareilly
31-12-2025,Uttar Pradesh,Bareilly,262406,5,88,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243001,5,85,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243202,4,74,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243302,4,37,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243303,3,46,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243403,0,2,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243407,4,25,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243501,1,20,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243504,6,31,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243005,0,69,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243203,3,41,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243301,0,41,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243303,1,28,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243407,0,4,bareilly
01-01-2026,Uttar Pradesh,Bareilly,262406,4,59,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243001,2,42,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243003,0,22,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243202,0,17,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243506,3,14,bareilly
03-01-2026,Uttar Pradesh,Bareilly,262407,1,12,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243001,3,72,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243006,3,36,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243202,4,44,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243203,5,24,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243302,0,24,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243402,1,14,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243407,0,14,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243504,3,21,bareilly
02-01-2026,Uttar Pradesh,Bareilly,262406,8,53,bareilly
24-12-2025,Uttar Pradesh,Bareilly,243001,7,162,bareilly
24-12-2025,Uttar Pradesh,Bareilly,243505,14,130,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243005,3,91,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243006,7,68,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243122,8,126,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243301,7,80,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243303,11,106,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243503,16,169,bareilly
23-12-2025,Uttar Pradesh,Bareilly,262407,2,61,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243003,3,59,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243005,8,86,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243122,8,101,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243202,5,82,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243303,4,52,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243401,2,29,bareilly
18-12-2025,Uttar Pradesh,Bareilly,243503,9,189,bareilly
20-12-2025,Uttar Pradesh,Bareilly,243006,2,19,bareilly
20-12-2025,Uttar Pradesh,Bareilly,243123,6,73,bareilly
20-12-2025,Uttar Pradesh,Bareilly,243302,3,69,bareilly
20-12-2025,Uttar Pradesh,Bareilly,262407,2,40,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243003,0,8,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243122,0,42,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243123,2,38,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243203,1,7,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243301,1,13,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243505,7,29,bareilly
25-12-2025,Uttar Pradesh,Bareilly,243401,1,23,bareilly
26-12-2025,Uttar Pradesh,Bareilly,243003,1,73,bareilly
26-12-2025,Uttar Pradesh,Bareilly,243005,2,93,bareilly
26-12-2025,Uttar Pradesh,Bareilly,243006,2,44,bareilly
26-12-2025,Uttar Pradesh,Bareilly,243201,10,178,bareilly
26-12-2025,Uttar Pradesh,Bareilly,243303,2,77,bareilly
26-12-2025,Uttar Pradesh,Bareilly,243505,8,125,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243001,6,149,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243201,8,148,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243502,1,68,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243505,12,114,bareilly
27-12-2025,Uttar Pradesh,Bareilly,262406,5,85,bareilly
19-12-2025,Uttar Pradesh,Bareilly,243122,7,87,bareilly
19-12-2025,Uttar Pradesh,Bareilly,243123,7,65,bareilly
19-12-2025,Uttar Pradesh,Bareilly,243403,0,3,bareilly
22-12-2025,Uttar Pradesh,Bareilly,243001,6,135,bareilly
22-12-2025,Uttar Pradesh,Bareilly,243005,2,62,bareilly
22-12-2025,Uttar Pradesh,Bareilly,243123,7,95,bareilly
22-12-2025,Uttar Pradesh,Bareilly,243303,3,45,bareilly
22-12-2025,Uttar Pradesh,Bareilly,243401,4,16,bareilly
17-12-2025,Uttar Pradesh,Bareilly,243001,4,137,bareilly
17-12-2025,Uttar Pradesh,Bareilly,243123,10,84,bareilly
17-12-2025,Uttar Pradesh,Bareilly,243302,6,80,bareilly
17-12-2025,Uttar Pradesh,Bareilly,243501,2,44,bareilly
17-12-2025,Uttar Pradesh,Bareilly,243503,6,143,bareilly
17-12-2025,Uttar Pradesh,Bareilly,243505,5,109,bareilly
16-12-2025,Uttar Pradesh,Bareilly,243001,7,165,bareilly
16-12-2025,Uttar Pradesh,Bareilly,243202,3,85,bareilly
16-12-2025,Uttar Pradesh,Bareilly,243301,5,89,bareilly
16-12-2025,Uttar Pradesh,Bareilly,243303,5,93,bareilly
16-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243006,0,50,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243122,6,86,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243302,6,82,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243501,6,38,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243505,10,162,bareilly
10-12-2025,Uttar Pradesh,Bareilly,243506,2,41,bareilly
10-12-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
15-12-2025,Uttar Pradesh,Bareilly,243002,0,2,bareilly
15-12-2025,Uttar Pradesh,Bareilly,243201,16,221,bareilly
15-12-2025,Uttar Pradesh,Bareilly,243501,2,44,bareilly
15-12-2025,Uttar Pradesh,Bareilly,243503,8,198,bareilly
09-12-2025,Uttar Pradesh,Bareilly,243005,0,144,bareilly
09-12-2025,Uttar Pradesh,Bareilly,243006,3,55,bareilly
09-12-2025,Uttar Pradesh,Bareilly,243201,4,205,bareilly
09-12-2025,Uttar Pradesh,Bareilly,243303,6,79,bareilly
09-12-2025,Uttar Pradesh,Bareilly,243403,0,4,bareilly
09-12-2025,Uttar Pradesh,Bareilly,262407,2,47,bareilly
08-12-2025,Uttar Pradesh,Bareilly,243123,5,145,bareilly
08-12-2025,Uttar Pradesh,Bareilly,243201,8,212,bareilly
08-12-2025,Uttar Pradesh,Bareilly,243401,3,32,bareilly
08-12-2025,Uttar Pradesh,Bareilly,243504,3,58,bareilly
03-12-2025,Uttar Pradesh,Bareilly,243002,0,2,bareilly
03-12-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
03-12-2025,Uttar Pradesh,Bareilly,243302,4,78,bareilly
03-12-2025,Uttar Pradesh,Bareilly,243401,5,29,bareilly
03-12-2025,Uttar Pradesh,Bareilly,243504,4,50,bareilly
03-12-2025,Uttar Pradesh,Bareilly,243505,12,91,bareilly
04-12-2025,Uttar Pradesh,Bareilly,243001,8,172,bareilly
04-12-2025,Uttar Pradesh,Bareilly,243006,0,60,bareilly
04-12-2025,Uttar Pradesh,Bareilly,243302,5,76,bareilly
04-12-2025,Uttar Pradesh,Bareilly,243407,0,22,bareilly
04-12-2025,Uttar Pradesh,Bareilly,243503,11,199,bareilly
05-12-2025,Uttar Pradesh,Bareilly,243001,4,185,bareilly
05-12-2025,Uttar Pradesh,Bareilly,243401,2,23,bareilly
05-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243003,5,94,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243005,2,150,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243201,11,222,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243202,4,94,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243302,4,88,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243401,3,32,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243502,2,80,bareilly
06-12-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
06-12-2025,Uttar Pradesh,Bareilly,262406,9,115,bareilly
06-12-2025,Uttar Pradesh,Bareilly,262407,1,57,bareilly
14-12-2025,Uttar Pradesh,Bareilly,243302,4,32,bareilly
14-12-2025,Uttar Pradesh,Bareilly,243503,5,52,bareilly
14-12-2025,Uttar Pradesh,Bareilly,243506,0,20,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243003,5,69,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243006,0,60,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243123,5,120,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243403,0,3,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243501,2,36,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243503,11,190,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243504,9,50,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243505,6,106,bareilly
13-12-2025,Uttar Pradesh,Bareilly,243506,0,53,bareilly
12-12-2025,Uttar Pradesh,Bareilly,243003,6,80,bareilly
12-12-2025,Uttar Pradesh,Bareilly,243401,2,23,bareilly
11-12-2025,Uttar Pradesh,Bareilly,243122,9,99,bareilly
11-12-2025,Uttar Pradesh,Bareilly,243203,5,37,bareilly
11-12-2025,Uttar Pradesh,Bareilly,243402,3,30,bareilly
11-12-2025,Uttar Pradesh,Bareilly,262407,2,68,bareilly
07-12-2025,Uttar Pradesh,Bareilly,243123,4,66,bareilly
07-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243006,0,25,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243201,5,68,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243301,2,17,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243302,0,11,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243401,0,6,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243402,6,13,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243506,0,18,bareilly
08-11-2025,Uttar Pradesh,Bareilly,243301,1,46,bareilly
08-11-2025,Uttar Pradesh,Bareilly,243401,5,26,bareilly
08-11-2025,Uttar Pradesh,Bareilly,243402,2,31,bareilly
08-11-2025,Uttar Pradesh,Bareilly,243501,1,34,bareilly
08-11-2025,Uttar Pradesh,Bareilly,243503,7,144,bareilly
08-11-2025,Uttar Pradesh,Bareilly,243505,11,110,bareilly
10-11-2025,Uttar Pradesh,Bareilly,243122,5,82,bareilly
10-11-2025,Uttar Pradesh,Bareilly,243302,3,58,bareilly
10-11-2025,Uttar Pradesh,Bareilly,243407,1,10,bareilly
10-11-2025,Uttar Pradesh,Bareilly,243503,12,178,bareilly
10-11-2025,Uttar Pradesh,Bareilly,262406,6,116,bareilly
11-11-2025,Uttar Pradesh,Bareilly,243001,11,189,bareilly
11-11-2025,Uttar Pradesh,Bareilly,243123,10,162,bareilly
11-11-2025,Uttar Pradesh,Bareilly,243202,4,86,bareilly
11-11-2025,Uttar Pradesh,Bareilly,243203,4,62,bareilly
11-11-2025,Uttar Pradesh,Bareilly,243503,7,144,bareilly
12-11-2025,Uttar Pradesh,Bareilly,243504,4,52,bareilly
13-11-2025,Uttar Pradesh,Bareilly,243123,7,124,bareilly
13-11-2025,Uttar Pradesh,Bareilly,243403,0,3,bareilly
16-11-2025,Uttar Pradesh,Bareilly,243201,5,99,bareilly
16-11-2025,Uttar Pradesh,Bareilly,243302,4,30,bareilly
16-11-2025,Uttar Pradesh,Bareilly,243505,2,37,bareilly
16-11-2025,Uttar Pradesh,Bareilly,243506,0,31,bareilly
17-11-2025,Uttar Pradesh,Bareilly,243122,5,134,bareilly
17-11-2025,Uttar Pradesh,Bareilly,243301,2,109,bareilly
17-11-2025,Uttar Pradesh,Bareilly,243302,5,73,bareilly
17-11-2025,Uttar Pradesh,Bareilly,243401,0,27,bareilly
17-11-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243202,3,67,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243301,7,68,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243503,11,164,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243203,0,4,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243401,0,13,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243407,0,17,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243501,1,14,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243503,8,73,bareilly
05-11-2025,Uttar Pradesh,Bareilly,262406,3,48,bareilly
05-11-2025,Uttar Pradesh,Bareilly,262407,2,33,bareilly
04-11-2025,Uttar Pradesh,Bareilly,243123,8,86,bareilly
04-11-2025,Uttar Pradesh,Bareilly,243504,2,51,bareilly
07-11-2025,Uttar Pradesh,Bareilly,243001,9,125,bareilly
07-11-2025,Uttar Pradesh,Bareilly,243005,4,105,bareilly
07-11-2025,Uttar Pradesh,Bareilly,243201,12,173,bareilly
07-11-2025,Uttar Pradesh,Bareilly,243302,5,71,bareilly
